iter	Passed	Remaining
2755	64481	169485
2756	64505	169465
2757	64523	169427
2758	64548	169406
2759	64574	169392
2760	64596	169364
2761	64618	169335
2762	64640	169308
2763	64669	169300
2764	64694	169281
2765	64715	169253
2766	64739	169230
2767	64761	169202
2768	64797	169214
2769	64826	169204
2770	64852	169186
2771	64875	169164
2772	64904	169154
2773	64925	169125
2774	64954	169116
2775	64979	169096
2776	65002	169073
2777	65022	169039
2778	65049	169025
2779	65073	169002
2780	65095	168975
2781	65116	168948
2782	65138	168919
2783	65159	168890
2784	65180	168860
2785	65202	168834
2786	65225	168809
2787	65249	168788
2788	65271	168760
2789	65293	168732
2790	65316	168707
2791	65337	168680
2792	65363	168663
2793	65385	168634
2794	65405	168603
2795	65428	168578
2796	65450	168552
2797	65477	168538
2798	65504	168522
2799	65527	168498
2800	65554	168486
2801	65578	168463
2802	65600	168436
2803	65623	168410
2804	65647	168389
2805	65670	168364
2806	65692	168337
2807	65713	168309
2808	65735	168281
2809	65756	168252
2810	65778	168226
2811	65800	168198
2812	65823	168174
2813	65851	168161
2814	65875	168139
2815	65901	168124
2816	65923	168096
2817	65944	168067
2818	65969	168047
2819	65990	168018
2820	66011	167989
2821	66032	167959
2822	66060	167947
2823	66086	167931
2824	66117	167926
2825	66142	167907
2826	66177	167912
2827	66200	167889
2828	66221	167859
2829	66243	167832
2830	66265	167804
2831	66287	167779
2832	66309	167752
2833	66333	167728
2834	66355	167702
2835	66380	167684
2836	66405	167664
2837	66426	167634
2838	66450	167612
2839	66477	167597
2840	66498	167568
2841	66520	167540
2842	66542	167514
2843	66569	167500
2844	66591	167473
2845	66611	167442
2846	66634	167418
2847	66656	167391
2848	66680	167368
2849	66704	167347
2850	66726	167320
2851	66741	167273
2852	66766	167254
2853	66787	167226
2854	66813	167208
2855	66838	167189
2856	66860	167161
2857	66892	167160
2858	66918	167144
2859	66937	167110
2860	66960	167084
2861	66982	167057
2862	67003	167029
2863	67027	167007
2864	67050	166982
2865	67080	166976
2866	67105	166956
2867	67125	166924
2868	67146	166894
2869	67167	166865
2870	67192	166845
2871	67214	166820
2872	67237	166795
2873	67259	166767
2874	67279	166735
2875	67300	166707
2876	67322	166679
2877	67345	166655
2878	67363	166618
2879	67385	166592
2880	67406	166562
2881	67428	166535
2882	67454	166519
2883	67478	166496
2884	67508	166488
2885	67532	166467
2886	67554	166440
2887	67575	166411
2888	67602	166397
2889	67631	166387
2890	67653	166360
2891	67676	166336
2892	67696	166305
2893	67719	166280
2894	67741	166254
2895	67764	166228
2896	67786	166201
2897	67807	166172
2898	67828	166142
2899	67851	166118
2900	67874	166095
2901	67902	166082
2902	67924	166056
2903	67945	166027
2904	67970	166006
2905	67996	165989
2906	68019	165965
2907	68042	165941
2908	68065	165917
2909	68086	165887
2910	68109	165862
2911	68131	165836
2912	68154	165811
2913	68176	165786
